,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
3642,SARS-CoV-2 IgG and IgM Serologic Assays,COVID,"February 08, 2021",500,NCT04562246,SEROLOGIC ASSAYS FOR ANTIBODIES TO SARS-COV-2,UNITED STATES,Recruiting,Henry Ford Health System,"August 14, 2020",Observational,Laboratory Validation of SARS-CoV-2 IgG and IgM Serologic Assays on an Automated Immunoassay System
3643,Sustained Immunity to SARS-CoV-2,COVID,"February 08, 2021",500,NCT04562285,SEROLOGIC IMMUNOASSAYS TO SARS-COV-2 ANTIBODIES,UNITED STATES,Recruiting,Henry Ford Health System,"June 23, 2020",Observational,Initial and Sustained Immunity to SARS-CoV-2 Measured by Serologic Assays on an Automated Immunoassay System
3644,"XatJove Anoia, as a Tool to Bring Health Services Closer to Teenagers",HEALTHY,"February 08, 2021",500,NCT04562350,XATJOVE ANOIA APLICATION,SPAIN,Recruiting,Jordi Gol i Gurina Foundation,"October 1, 2020",Interventional,"XatJove Anoia, as a Tool to Bring Health Services Closer to Teenagers"
3645,Community Applications of the MindShift App,ANXIETY; DEPRESSION; ANXIETY GENERALIZED; ANXIETY DISORDERS AND SYMPTOMS,"February 08, 2021",250,NCT04562948,,CANADA,Recruiting,University of Windsor,"November 11, 2020",Observational,Community Applications of the MindShift App
3646,Active Pregnancy Against COVID-19,"PREGNANCY COMPLICATIONS; PREGNANCY, HIGH RISK; PREGNANCY INDUCED HYPERTENSION; NEWBORN MORBIDITY; FETAL GROWTH RETARDATION; FETUS DISORDER; WEIGHT GAIN, MATERNAL; MATERNAL-FETAL RELATIONS","February 08, 2021",280,NCT04563065,EXERCISE PROGRAM; HEALTHY LIFESTYLE ADVISE,SPAIN,Recruiting,Universidad Politecnica de Madrid,"August 1, 2020",Interventional,"Active Pregnancy, Prevention Against the Effects of COVID-19"
3647,Follow-up and Rehabilitation of Survivors of Severe Coronavirus Disease 2019 (COVID-19) Infection,COVID,"February 08, 2021",100,NCT04563156,LUNG FUNCTION TEST,BRAZIL,Enrolling by invitation,University of Sao Paulo General Hospital,"June 23, 2020",Observational,Follow-up and Rehabilitation of Survivors of Severe Covid-19 Infection
3648,Study of Oral Administration of Ribavirin and Nitazoxamide Versus Placebo in COVID-19,COVID; SARS-COV INFECTION,"February 08, 2021",40,NCT04563208,PLACEBO; DUACT,SOUTH AFRICA,Recruiting,"University of Witwatersrand, South Africa","December 9, 2020",Interventional,"A Randomized, Double-Blind, Study Comparing the Efficacy, Safety, and Tolerability of Oral Administration of Ribavirin (RBV) and Nitazoxamide (NTZ)Versus Placebo in SARS-CoV-2 Virus Infected Participants (DuACT)"
3649,Seroprevalence of SARS-CoV-2 in Asymptomatic Frontline COVID-19 HCWs,COVID,"February 08, 2021",700,NCT04563247,IGG SARS COV 2 ANTIBODIES,PAKISTAN,"Active, not recruiting",Lahore General Hospital,"July 1, 2020",Observational,Seroprevalence of SARS-CoV 2 Among Asymptomatic Frontline Healthcare Workers During COVID 19: A Cross Sectional Study
3650,Comorbidities And Complications Associated With Covid-19 Infection,COVID,"February 08, 2021",200,NCT04563442,COMPLICATION,,Not yet recruiting,Assiut University,"October 15, 2020",Observational [Patient Registry],Comorbidities And Complications Associated With Covid-19 Infection
3651,"The Effects of IV vs Oral Dexamethasone on Postoperative Nausea, Vomiting, and Pain","NAUSEA AND VOMITING, POSTOPERATIVE","February 08, 2021",126,NCT04563494,DEXAMETHASONE,,Not yet recruiting,"University of Colorado, Denver","October 1, 2020",Interventional,"The Effects of IV vs Oral Dexamethasone on Postoperative Nausea, Vomiting, Pain, and Drug Cost in Children Undergoing Tonsillectomy: A Randomized Controlled Prospective Non-inferiority Study"
3652,COVID-19 Serology and Immunosenescence,COVID; GERIATRIC MEDICINE; SEROCONVERSION; IMMUNOSENESCENCE,"February 08, 2021",330,NCT04563650,BLOOD SAMPLE,FRANCE,Recruiting,"Centre Hospitalier Universitaire, Amiens","September 18, 2020",Interventional,Kinetics of COVID-19-neutralising Antibodies in Patients Residing in EHPAD / USLD: Influence of Immunosenescence
3653,Physiopathology and Sequelae of COVID-19 Infection,COVID; TSH; CORTISOL,"February 08, 2021",400,NCT04563676,BLOOD TEST,FRANCE,Recruiting,"Centre Hospitalier Universitaire, Amiens","September 22, 2020",Interventional,Physiopathology and Sequelae of COVID-19 Infection
3654,Pilot Study to Evaluate Effect of CHX0.12/CPC 0.05 of SARS-CoV-2 Viral Load in COVID-19 Patients,COVID,"February 08, 2021",23,NCT04563689,CHX0.12+CPC0.05 ORAL RINSE (PERIOAIDACTIVE CONTROL); PLACEBO RINSE,COLOMBIA,Completed,Dentaid SL,"June 18, 2020",Interventional,Efecto de un Enjuague Bucal Con Clorhexidina al 0.12% y Cloruro de Cetil Piridinio al 0.05% en la Carga Viral en Saliva en Pacientes COVID-19 + Hospitalizados o Que Esten Recibiendo Cuidado médico en Casa en Cali - 2020.
3655,Safety and Immunogenicity Trial of an Oral SARS-CoV-2 Vaccine (VXA-CoV2-1) for Prevention of COVID-19 in Healthy Adults,COVID,"February 08, 2021",35,NCT04563702,VXA-COV2-1,UNITED STATES,"Active, not recruiting",Vaxart,"September 21, 2020",Interventional,"A Phase 1 Open-Label, Dose-Ranging Trial to Determine the Safety and Immunogenicity of an Adenoviral-Vector Based Vaccine (VXA-CoV2-1) Expressing a SARS-CoV-2 Antigen and dsRNA Adjuvant Administered Orally to Healthy Adult Volunteers"
3656,A Study in Healthy Subjects to Assess Bioavailability (Proportion of a Drug Which Enters the Circulation to Have an Active Effect) of Acalabrutinib Tablet and Protonpump Inhibitor Effect (Members of a Class of Medications That Inhibits in Gastric Acid Production) for Rabeprazole,MANTLE CELL LYMPHOMA; COVID,"February 08, 2021",20,NCT04564040,ACALABRUTINIB TREATMENT A; ACALABRUTINIB TREATMENT B; ACALABRUTINIB TREATMENT C; ACALABRUTINIB TREATMENT D,GERMANY,Completed,AstraZeneca,"October 12, 2020",Interventional,"A 2-Part, Phase I, Open-label, Single-dose, Sequential, Randomized, Crossover Study of Acalabrutinib Tablet Suspension Delivered Via Nasogastric Tube in Healthy Subjects to Evaluate Relative Bioavailability and Proton-pump Inhibitor (Rabeprazole) Effect"
3657,Advancing Prevention of Pulmonary Fibrosis,IPF; PULMONARY FIBROSIS; ILD,"February 08, 2021",1000,NCT04564183,SAMPLE COLLECTION; QUESTIONNAIRES; HIGH RESOLUTION CT SCAN OF THE CHEST; PULMONARY FUNCTION TEST,,Not yet recruiting,"University of Colorado, Denver","December 1, 2020",Observational,Advancing Prevention of Pulmonary Fibrosis - A Cohort Study of Preclinical Pulmonary Fibrosis
3658,COV2Base-A Rare Disease by COVID Study,CHRONIC HEALTH CONDITIONS; OLDER AGE IS ASSOCIATED WITH INCREASED PATHOGENICITY,"February 08, 2021",5000,NCT04564274,,UNITED STATES,Recruiting,"National Heart, Lung, and Blood Institute (NHLBI)","February 11, 2021",Observational,Natural History Study: COV2Base-a Rare Disease by COVID Study
3659,An Observational Study of Neurologic Function After COVID-19 Infection,COVID,"February 08, 2021",100,NCT04564287,,UNITED STATES,Enrolling by invitation,National Institute of Neurological Disorders and Stroke (NINDS),"October 28, 2020",Observational,An Observational Study of Neurologic Function After COVID-19 Infection
3660,Developing and Testing a Technology-Based Translation of the DPP to Address Prediabetes in a Primary Care Setting,"PREDIABETES; METABOLIC SYNDROME, PROTECTION AGAINST","February 08, 2021",32,NCT04564586,DPPFIT,UNITED STATES,"Active, not recruiting",Augusta University,"January 1, 2020",Interventional,Developing and Testing a Technology-Based Translation of the Diabetes Prevention Program for Adult Primary Care Patients At-Risk of Developing Type 2 Diabetes Mellitus
3661,"Clinical Trial of Efficacy, Safety, and Immunogenicity of Gam-COVID-Vac Vaccine Against COVID-19 in Belarus",COVID,"February 08, 2021",100,NCT04564716,GAM-COVID-VAC; PLACEBO,BELARUS,"Active, not recruiting","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation","September 28, 2020",Interventional,"Сlinical Trial of Efficacy, Safety and Immunogenicity of Combined Vector Vaccine Gam-COVID-Vac in SARS-СoV-2 Infection Prophylactic Treatment in Republic of Belarus"
3662,Identification and Characterization of SARS-CoV-2 Specific CD8 T Cells in Humans,COVID,"February 08, 2021",120,NCT04565067,,UNITED STATES,Recruiting,National Institute on Aging (NIA),"February 11, 2021",Observational,Identification and Characterization of SARS-CoV-2 Specific CD8 T Cells in Humans a Clinical Observation Trial
3663,Clinical Correlates of COVID-19 Pandemic in Patients With Functional Movement Disorder (FMD) and Parkinson's Disease (PD),PARKINSON'S DISEASE; FUNCTIONAL MOVEMENT DISORDERS; COVID,"February 08, 2021",150,NCT04565080,,UNITED STATES,Recruiting,National Institute of Neurological Disorders and Stroke (NINDS),"February 11, 2021",Observational,Clinical Correlates of COVID-19 Pandemic in Patients With Functional Movement Disorder (FMD) and Parkinson's Disease (PD)
3664,Automatic Oxygen Titration With O2matic® to Patients Admitted With COVID-19 and Hypoxemic Respiratory Failure,COVID; HYPOXEMIC RESPIRATORY FAILURE; HYPOXEMIA,"February 08, 2021",16,NCT04565106,CLOSED-LOOP CONTROL OF OXYGEN SUPPLEMENTATION BY O2MATIC,DENMARK,Completed,Hvidovre University Hospital,"April 15, 2020",Observational,Automatic Oxygen Titration With O2matic® to Patients Admitted With COVID-19 and Hypoxemic Respiratory Failure
3665,Convalescent Plasma Therapy for COVID-19 Patients,SARS-COV INFECTION,"February 08, 2021",20,NCT04565197,CONVALESCENT PLASMA,PAKISTAN,"Active, not recruiting",Lahore General Hospital,"May 1, 2020",Interventional,Convalescent Plasma for Passive Immunization in COVID-19 ICU Patients: An Interventional Study
3666,"Evaluation of the Safety, Tolerability, and Pharmacokinetics of PLN-74809 in Participants With Acute Respiratory Distress Syndrome (ARDS) Associated With at Least Severe COVID-19",ACUTE RESPIRATORY DISTRESS SYNDROME; SARS-CoV2,"February 08, 2021",36,NCT04565249,PLN-74809; PLACEBO,UNITED STATES,Recruiting,"Pliant Therapeutics, Inc.","October 22, 2020",Interventional,"A Randomized, Double-blind, Dose-ranging, Placebo Controlled, Phase 2a Evaluation of the Safety, Tolerability, and Pharmacokinetics of PLN-74809 in Participants With Acute Respiratory Distress Syndrome (ARDS) Associated With at Least Severe COVID-19 (INTEGRIS-ARDS)"
3667,Testing Multiple Behavioral Science Strategies to Increase Flu-Shot Rates,"INFLUENZA, HUMAN","February 08, 2021",80000,NCT04565353,FLU SHOT TEXT MESSAGES,UNITED STATES,Recruiting,University of Pennsylvania,"September 20, 2020",Interventional,Testing Multiple Behavioral Science Strategies to Increase Flu-Shot Rates
3668,Clinical Trial to Investigate the Efficacy and Safety of NuSepin® in COVID-19 Pneumonia Patients,COVID PNEUMONIA,"February 08, 2021",60,NCT04565379,NUSEPIN® 0.1 MG; NUSEPIN® 0.2 MG; PLACEBO,ROMANIA,Recruiting,Shaperon,"September 25, 2020",Interventional,"A Randomized, Double Blind, Placebo-controlled, Phase 2 Clinical Trial to Investigate the Efficacy and Safety of 2 Doses of NuSepin® Intravenous Infusion in COVID-19 Pneumonia Patients"
3669,Remotely-conducted Trial of Famotidine vs Placebo for Patients at Home With Coronavirus (COVID) of 2019 (COVID-19),COVID,"February 08, 2021",150,NCT04565392,FAMOTIDINE 20 MILLIGRAM TABLET,UNITED STATES,Not yet recruiting,drpykessupplements.com,"May 1, 2021",Interventional,Proof-of-concept Randomized Placebo-controlled Trial of Famotidine for Outpatients With COVID-19
3670,Supporting the Health and Well-being of Children With Intellectual and Developmental Disability During COVID-19 Pandemic,COVID; INTELLECTUAL DISABILITY; DEVELOPMENTAL DISABILITY; CHILD DEVELOPMENT DISORDER,"February 08, 2021",2500,NCT04565509,GENERAL COMMUNICATION MESSAGE; FOCUSED/TARGETED MESSAGE; BEST MESSAGE ALONE; BEST MESSAGE + AUGMENTED MESSAGE OR IMPLEMENTATION STRATEGY,UNITED STATES,Recruiting,Washington University School of Medicine,"November 20, 2020",Interventional,Supporting the Health and Well-being of Children With Intellectual and Developmental Disability During COVID-19 Pandemic
3671,Transmission of COVID-19 Virus Among Patients and Staff in Dialysis Centers,COVID; DIALYSIS; NURSE-PATIENT RELATIONS,"February 08, 2021",5000,NCT04565522,PROSPECTIVE OBSERVATION,ITALY,Not yet recruiting,"Simeone Andrulli, MD","September 21, 2020",Observational,Transmission of COVID-19 Among Patients and Health Personnel in Dialysis Centers: a Cohort Prospective Study (DIAL-COVID-19)
3672,Cord Blood-Derived Mesenchymal Stem Cells for the Treatment of COVID-19 Related Acute Respiratory Distress Syndrome,COVID INFECTION; COVID-ASSOCIATED ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",70,NCT04565665,BEST PRACTICE; MESENCHYMAL STEM CELL,UNITED STATES,Recruiting,M.D. Anderson Cancer Center,"July 29, 2020",Interventional,Emergency Use Pilot Study of Cord Blood Derived Mesenchymal Stem Cells for Treatment of COVID-19 Related Acute Respiratory Distress Syndrome
3673,Corona Virus Infection Among Liver Transplant Recipients,SARS-COV INFECTION; CORONAVIRUS INFECTION; LIVER TRANSPLANT RECIPIENT; COVID,"February 08, 2021",150,NCT04565782,,EGYPT,Recruiting,Assiut University,"September 15, 2020",Observational,Corona Virus Infection Among Liver Transplant Recipients: A Multicenter Study
3674,ChulaCov19 mRNA Vaccine in Healthy Adults,COVID VACCINE; SAFETY ISSUES,"February 08, 2021",96,NCT04566276,CHULACOV19 MRNA VACCINE,THAILAND,Not yet recruiting,Chulalongkorn University,January 2021,Interventional,"A Phase 1/2, Dose-finding Study to Evaluate Safety, Tolerability, and Immunogenicity of the ChulaCov19 mRNA Vaccine in Healthy Adults"
3675,LLIN Evaluation in Uganda Project,MALARIA,"February 08, 2021",200000,NCT04566510,"LONG LASTING INSECTICIDAL NETS WITH ALPHA-CYPERMETHRIN + PYRIPROXYFEN (PPF LLIN, ROYAL GUARD)); LONG LASTING INSECTICIDAL NETS WITH DELTAMETHRIN + PIPERONYL BUTOXIDE (PBO LLIN, PERMANET 3.0)); SOCIAL BEHAVIOUR CHANGE COMMUNICATION",UGANDA,Recruiting,"University of California, San Francisco","October 17, 2020",Interventional,Impact of Long-lasting Insecticidal Nets (LLINs) Treated With Pyrethroid Plus Pyriproxyfen vs LLINs Treated With Pyrethroid Plus Piperonyl Butoxide on Malaria Incidence in Uganda: a Cluster-randomised Trial
3676,Preventing Viral Pandemic Associated Risk of Cancer Death Using Less Invasive Diagnostic Tests- Liquid Biopsies,"NEOPLASM, COLORECTAL; NEOPLASM OF LUNG; NEOPLASM, BLADDER; NEOPLASMS PANCREATIC; BILIARY TRACT NEOPLASMS; GASTRO INTESTINAL STROMAL TUMOUR","February 08, 2021",112,NCT04566614,CTDNA BLOOD SAMPLING,UNITED KINGDOM,Recruiting,Royal Marsden NHS Foundation Trust,"June 18, 2020",Observational,Preventing Viral Pandemic Associated Risk of Cancer Death Using Less Invasive Diagnostic Tests- Liquid Biopsies
3677,A Clinical Trial of A COVID-19 Vaccine Named Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector),COVID,"February 08, 2021",481,NCT04566770,RECOMBINANT NOVEL CORONAVIRUS VACCINE (ADENOVIRUS TYPE 5 VECTOR); RECOMBINANT NOVEL CORONAVIRUS VACCINE (ADENOVIRUS TYPE 5 VECTOR) -PLACEBO,CHINA,Recruiting,CanSino Biologics Inc.,"September 24, 2020",Interventional,"A Randomized, Double-blind, Placebo -Controlled Phase IIb Clinical Trial to Evaluate the Safety and Immunogenicity of Ad5-nCoV in Person 6 Years of Age and Older and Those Who Have Previously Been Vaccinated With Ad5-EBOV"
3678,Serology to Covid for Recording Exposures and Evaluating Needs,COVID; CORONAVIRUS; SARS-COV INFECTION,"February 08, 2021",230,NCT04566965,SARS-COV-2,UNITED STATES,Recruiting,"Children's Hospital Medical Center, Cincinnati","August 18, 2020",Observational,Serology to Covid for Recording Exposures and Evaluating Needs (SCREEN)
3679,Convalescent Plasma as Adjunctive Therapy for Hospitalized Patients With COVID-19,COVID,"February 08, 2021",136,NCT04567173,ANTI-SARS-COV-2 CONVALESCENT PLASMA,PHILIPPINES,Recruiting,University of the Philippines,"September 21, 2020",Interventional,"A Randomized, Open-Label, Single Center Clinical Trial to Assess the Efficacy and Safety of Convalescent Plasma to Hospitalized Adult COVID-19 Patients as Adjunctive Therapy to Reduce the Need for ICU Admission: Co-CLARITY Trial"
3680,Predictive Factors for COVID-19 in Rheumatology,RHEUMATIC DISEASES; COVID,"February 08, 2021",150,NCT04567576,DISEASE-MODIFYING ANTIRHEUMATIC DRUGS (DMARDS),,Not yet recruiting,Fundación Santa Fe de Bogota,October 2020,Observational,Predictive Factors for COVID-19 in Rheumatology Study Based on Information Collected in The COVID-19 Global Rheumatology Alliance
3681,"Safety, Tolerability, and Pharmacokinetics of Anti-Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Chicken Egg Antibody (IgY) (COVID-19)",COVID,"February 08, 2021",48,NCT04567810,ANTI-SARS-COV-2 IGY; PLACEBO,AUSTRALIA,Completed,Stanford University,"September 18, 2020",Interventional,"A Phase 1 Study in Healthy Participants to Evaluate the Safety, Tolerability, and Pharmacokinetics of Single -Ascending and Multiple Doses of an Anti-Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Chicken Egg Antibody (IgY)"
3682,Screening of Health-care Workers in an University Hospital for SARS-CoV-2,COVID,"February 08, 2021",3000,NCT04567836,INVESTIGATION OF THE PREVALENCE OF TEST POSITIVITY,ITALY,Recruiting,University of Milano Bicocca,"June 1, 2020",Observational,Screening of Health-care Workers in an University Hospital: an Observational Prospective Study on the Screening of Hospital Workers for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)
3683,Prevalence and Risk Factors for Venous Thromboembolic Events in Critically Ill Patients With COVID-19,SARS VIRUS,"February 08, 2021",80,NCT04567927,ULTRASONOGRAPHY,SWITZERLAND,Completed,Chiesa Alessandro Felice,"March 3, 2020",Observational,Prevalence and Risk Factors for Venous Thromboembolic Events in Critically Ill Patients With SARS-CoV-2 Infection
3684,COVID-19 Tests With Saliva Specimens,COVID,"February 08, 2021",2000,NCT04567953,SALIVA COLLECTION,UNITED STATES,"Active, not recruiting",Paradigm Laboratories LLC,"July 28, 2020",Interventional,COVID-19 Tests With Saliva Specimens
3685,Prospective Determination of COVID-19 Infection Rate in a Chemotherapy Unit in Mexico.,COVID; CANCER; TUMOR,"February 08, 2021",149,NCT04567979,,MEXICO,"Active, not recruiting",Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,"June 11, 2020",Observational,Prospective Determination of COVID-19 Infection Rate in Patients With Solid Tumors and Healthcare Workers of the Chemotherapy and Radiotherapy Unit at the Instituto Nacional de Ciencias Médicas y Nutrición Salvador.
3686,Evaluation of Lymphedema Patients Status During Covid-19 Pandemic,LYMPHEDEMA,"February 08, 2021",60,NCT04568005,,TURKEY,Completed,Fatih Sultan Mehmet Training and Research Hospital,"June 1, 2020",Observational [Patient Registry],"Evaluation of Lymphedema Patients Treatment Processes, Health Status, Coronavirus Phobia, Quality of Life, Anxiety and Depression During Covid-19 Pandemic"
3687,Surfactant-BL in Adult Acute Respiratory Distress Syndrome Due to COVID-19,ARDS DUE TO COVID,"February 08, 2021",120,NCT04568018,SURFACTANT,RUSSIAN FEDERATION,Recruiting,Biosurf LLC.,"July 3, 2020",Observational,"Open-label Trial to Assess the Efficacy and Safety of Inhalation Use of the Approved Drug Surfactant-BL (Biosurf LLC, Russia) as a Part of Complex Therapy of Acute Respiratory Distress Syndrome (ARDS) in Patients With SARS-CoV-2 Coronavirus Infection (COVID-19)"
3688,Study of AZD1222 for the Prevention of COVID-19 in Japan,COVID,"February 08, 2021",256,NCT04568031,AZD1222; 0.9% (W/V) SALINE,JAPAN,"Active, not recruiting",AstraZeneca,"August 23, 2020",Interventional,"A Phase I/II Randomized, Double-blind, Placebo-controlled Multicentre Study in Participants Aged 18 Years or Older to Determine the Safety and Immunogenicity of AZD1222, a Non-replicating ChAdOx1 Vector Vaccine, for the Prevention of COVID-19"
3689,Evaluation of Humoral Immunity Following COVID-19 in Pregnancy,"COVID; PREGNANCY RELATED; INFLUENZA, HUMAN","February 08, 2021",96,NCT04568044,BLOOD SAMPLE,UNITED KINGDOM,Recruiting,Imperial College London,"September 16, 2020",Observational,Evaluation of Cell-mediated and Humoral Immunity Following COVID-19 in Pregnancy
3690,Combination of Chemopreventive Agents (All- Trans Retinoic Acid and Tamoxifen) as Potential Treatment for the Lung Complication of COVID-19,THE LUNG COMPLICATION OF COVID,"February 08, 2021",160,NCT04568096,AEROSOLIZED ALL-TRANS RETINOIC ACID PLUS ORAL TAMOXIFEN; STANDARD TREATMENT,,Not yet recruiting,Kafrelsheikh University,November 2020,Interventional,Combination of Chemopreventive Agents (All- Trans Retinoic Acid and Tamoxifen) as Potential Treatment for the Lung Complication of COVID-19
3691,"Rapid Turnaround, Home-based Saliva Testing for COVID-19",COVID,"February 08, 2021",3015,NCT04568122,SALIVA TEST KIT,UNITED STATES,Recruiting,Stanford University,"November 20, 2020",Interventional,"Rapid Turnaround, Home-based Saliva Testing for COVID-19"
3692,A Survey Study to Assess the Impact of the COVID-19 Pandemic on Participants With Pre-Existing Mental Health Diagnosis,COVID,"February 08, 2021",1000,NCT04568135,SURVEY,,Not yet recruiting,Siyan Clinical Corporation,"October 31, 2020",Observational,A Survey Study to Assess the Impact of the COVID-19 Pandemic on Participants With Pre-Existing Mental Health Diagnosis
3693,COVID-19 Biorepository,COVID; SARS-CoV2; CORONAVIRUS; COVID,"February 08, 2021",50,NCT04568148,,UNITED STATES,Recruiting,University of Kansas Medical Center,"April 15, 2020",Observational,COVID-19 Biorepository
3694,A Clinical Evaluation of COVID-19 Rapid Point of Care Antigen Tests,SARS COV-2,"February 08, 2021",200,NCT04568356,DIRECT ANTIGEN TESTS FOR COVID-19,UNITED STATES,Completed,"E25Bio, Inc.","April 24, 2020",Interventional,"A Clinical Performance Evaluation of the SARS-COV-2 Direct Antigen Rapid Test ""DART"""
3695,Argentinian Registry of Patients With Rheumatic Diseases and COVID-19 Infection,RHEUMATIC DISEASES,"February 08, 2021",3000,NCT04568421,IMMUNOSUPPRESSIVE AGENTS,ARGENTINA,Recruiting,Sociedad Argentina de Reumatologia,"August 18, 2020",Observational [Patient Registry],Argentinian Registry of Patients With Rheumatic Diseases and COVID-19 Infection
3696,"Presenting Nutrition Characteristics, Comorbidities and Outcomes of COVID-19 in African Humanitarian Settings",COVID,"February 08, 2021",1000,NCT04568499,,,Not yet recruiting,Johns Hopkins Bloomberg School of Public Health,October 2020,Observational,"Presenting Nutrition Characteristics, Comorbidities and Outcomes of COVID-19 in African Humanitarian Settings: a Prospective Cohort Study in South Sudan and DRC"
3697,Passive Microwave Radiometry (MWR) and AI for COVID-19 Complications Early Diagnostics of Lungs,COVID,"February 08, 2021",195,NCT04568525,PASSIVE MICROWAVE RADIOMETRY,KYRGYZSTAN,Completed,Kyrgyz State Medical Academy,"July 1, 2020",Interventional,Microwave Radiation for Early Diagnostics of Pneumonia in Patients With COVID-19
3698,"COVID-19-associated Anxiety of Pregnant Women for Anomalies, Stillbirth and Preterm Labor",ANXIETY STATE,"February 08, 2021",300,NCT04568551,,GERMANY,Recruiting,Martin-Luther-Universität Halle-Wittenberg,"October 1, 2020",Observational,"COVID-19-associated Anxiety of Pregnant Women for Anomalies, Stillbirth and Preterm Labor - CAASPtrial"
3699,Telerehabilitation in Lung Surgery Patients,LUNG CANCER; PHYSIOTHERAPY,"February 08, 2021",40,NCT04568564,"BREATHING EXERCISE, INTENSIVE SPIROMETRY USE, SUPPORTED COUGH, PROGRESSIVE MOBILISATION AND AMBULATION; EXERCISE BOOKLET",TURKEY,Recruiting,Istanbul Medipol University Hospital,"October 1, 2020",Interventional,Telerehabilitation of Reduced Physiotherapy Service in SARS-CoV-2 Pandemic Process in Lung Surgery Patients
3700,The Noninvasive Ventilation to COVID-19 Patients,NONINVAVIE VENTILATION TO PATIENTS WITH COVID,"February 08, 2021",23,NCT04568655,NONINVASIVE VENTILATION,CHINA,Completed,The First Affiliated Hospital of Guangzhou Medical University,"February 1, 2020",Observational,The Noninvasive Ventilation to COVID-19 Patients With Respiratory Failure
3701,Evaluation of Biological Response to SARS-COV2 (COVID-19) in Patients With Pre-existing Neurological Disease or Newly Neurological Symptoms (BIO-COCO-NEUROSCIENCES),COVID; NEUROLOGIC MANIFESTATIONS; PSYCHIATRIC MANIFESTATIONS,"February 08, 2021",200,NCT04568707,BLOOD SAMPLE,FRANCE,Not yet recruiting,Assistance Publique - Hôpitaux de Paris,"October 15, 2020",Interventional,Evaluation of Biological Response to SARS-COV2 in Patients With Pre-existing Neurological Disease or With New Neurological Manifestations of COVID-19
3702,The Phase I Clinical Trial of Booster Vaccination of Adenovirus Type-5 Vectored COVID-19 Vaccine,ADENOVIRUS TYPE-5 VECTORED COVID VACCINE,"February 08, 2021",89,NCT04568811,ADENOVIRUS TYPE-5 VECTORED COVID-19 VACCINE,CHINA,"Active, not recruiting",Jiangsu Province Centers for Disease Control and Prevention,"September 26, 2020",Interventional,"The Single-center, Open-label Phase I Clinical Trial of Booster Vaccination of Adenovirus Type-5 Vectored COVID-19 Vaccine in Healthy Adults Aged 18-60 Years"
3703,Waxing and Waning of Serum SARS CoV-2-IgG Level in COVID-19 Exposed Population,COVID,"February 08, 2021",50,NCT04568850,PLASMA IGG LEVELS,PAKISTAN,"Active, not recruiting",Lahore General Hospital,"July 1, 2020",Observational,Waxing and Waning of Serum SARS CoV 2 IgG Level: A Prospective Study
3704,Efficacy of Intravenous Melatonin on Mortality in Adult Patients Admitted to the Intensive Care Unit With COVID-19,COVID; SARS-CoV2; CORONAVIRUS INFECTION,"February 08, 2021",18,NCT04568863,MELATONIN INTRAVENOUS; PLACEBO INTRAVENOUS,SPAIN,Recruiting,Pharmamel S.L.,"June 20, 2020",Interventional,"A Phase II, Single-center, Double-blind, Randomized Placebo-controlled Trial to Explore the Efficacy and Safety of Intravenous Melatonin in Patients With COVID-19 Admitted to the Intensive Care Unit (MelCOVID Study)"
3705,Micronized and Ultramicronized Palmitoylethanolamide in COVID-19 Patients,COVID,"February 08, 2021",40,NCT04568876,"MICRONIZED AND ULTRA-MICRONIZED PALMITOYLETHANOLAMIDE (MPEA AND UMPEA, 300MG + 600MG) ORAL SUSPENSION; STANDARD THERAPY",ITALY,Recruiting,Epitech Group SpA,"October 23, 2020",Interventional,"Efficacy of Palmitoylethanolamide, in add-on to Standard Therapy, on Inflammatory Markers of Patients With Interstitial Pneumonia Due to COVID-19. A Pilot Controlled, Randomized, Open Lable Clinical Study"
3706,Minnesota COVID-19 Testing Project,COVID; INFECTIOUS DISEASE,"February 08, 2021",1000,NCT04568889,A $10 SURVEY INCENTIVE; A $20 SURVEY INCENTIVE; EMPHASIS OF GOVERNMENT INVOLVEMENT; EMPHASIS OF ACADEMIC RESEARCHERS INVOLVEMENT; COST-BENEFIT FRAME; DUTY FRAME; RACIAL/ETHNIC FRAME; NO MESSAGING,,Not yet recruiting,Harvard University,"September 28, 2020",Interventional,Minnesota COVID-19 Testing Project
3707,Attitudes Towards Influenza Vaccinations Among the Healthcare Workers of Medical University of Warsaw,VACCNATION IN HCW,"February 08, 2021",1000,NCT04569019,VACCIANTION STATUS IN HEALTH CARE WORKERS,POLAND,Recruiting,Medical University of Warsaw,"September 1, 2020",Observational,Attitudes Towards Influenza Vaccinations Among the Healthcare Workers of the University Clinical Center of the Medical University of Warsaw
