,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
4640,ACS-COVID-ASSIUT,"February 08, 2021",2500,NCT04691609,,EGYPT,Recruiting,Assiut University,"March 1, 2020",Observational,Assiut University Registry for ACS Patients During COVID-19 Pandemic,COVID
4641,COVID DISEASE,"February 08, 2021",2000,NCT04691895,SARS-COV2 INFECTION,ITALY,"Active, not recruiting",University of Bologna,"May 1, 2020",Observational [Patient Registry],Gastrointestinal Symptoms of SARS-CoV-2 Infection: a Prospective Multicentre Study,COVID
4642,COVID,"February 08, 2021",3000,NCT04691908,QAZCOVID-IN®-VACCINE AGAINST COVID-19,KAZAKHSTAN,Enrolling by invitation,Research Institute for Biological Safety Problems,"December 25, 2020",Interventional,"Multicenter, Randomized, Blind, Placebo-controlled Clinical Study of III Phase on Assessment of Preventive Efficiency, Safety and Immunogenicity QazCovid-in®-Vaccine Against COVID-19 in Healthy Adult Volunteers",COVID
4643,COVID,"February 08, 2021",1000,NCT04691921,CURRENT CLINICAL PRACTICES OF PARTICIPATING PHYSICIANS,INDIA,Recruiting,NMC Specialty Hospital,"January 4, 2021",Observational,Nation-wide Cross-sectional Survey on Current Pharmacological Practices in Severe COVID-19,COVID
4644,COVID,"February 08, 2021",61,NCT04691934,ANESTHESIA MANAGEMENT,TURKEY,Completed,Turkiye Yuksek Ihtisas Education and Research Hospital,"March 11, 2020",Observational,Our Anesthesia Experiences in COVID-19 Positive Patients Undergoing Cesarean Section: A Retrospective Single-center Cohort Study,COVID
4645,COVID VACCINE,"February 08, 2021",44,NCT04691947,ERUCOV-VAC,TURKEY,Recruiting,Health Institutes of Turkey,"November 5, 2020",Interventional,"Phase 1 Study for the Determination of Safety and Immunogenicity of Two Different Strengths of the Inactivated COVID-19 Vaccine ERUCOV-VAC, Given Twice Intramuscularly to Healthy Volunteers, in a Placebo Controlled Study Design.",COVID
4646,COVID,"February 08, 2021",100,NCT04692129,,BRAZIL,Recruiting,Corporacion Parc Tauli,"May 29, 2020",Observational,"Short-term Effects of Prone Positioning on Tissue Oxygen Saturation, Measured by Near-infrared Spectroscopy, in COVID-19 Patients With Acute Respiratory Distress Syndrome",COVID
4647,COVID,"February 08, 2021",60,NCT04692779,LUNG ULTRASOUND (LUS),,Not yet recruiting,Rush University Medical Center,"January 31, 2021",Observational,"A Prospective Clinical Study to Explore the Mechanism of Patients' Response to Prone Positioning in ARDS Patients, Including COVID-19",COVID
4648,COVID,"February 08, 2021",150,NCT04693026,REMDESIVIR,BANGLADESH,Recruiting,M Abdur Rahim Medical College and Hospital,"September 10, 2020",Interventional,Efficacy of Ramdicivir and Baricitinib Combination Therapy for the Treatment of COVID 19 ARDS,COVID
4649,PSYCHIATRIC DISORDER,"February 08, 2021",600,NCT04693052,NO INTERVENTIONS,UNITED STATES,Enrolling by invitation,Northwestern University,"December 10, 2020",Observational,Attitudes Towards Receiving Mental Health Care Using Telehealth During the COVID-19 Pandemic,Unrelated
4650,TRUST,"February 08, 2021",32400,NCT04693689,RNA VACCINE,,Not yet recruiting,"National University, Singapore","January 15, 2021",Interventional,"Novelty, Conformity and Trust in Vaccines",Unrelated
4651,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,"February 08, 2021",94,NCT04693975,,BRAZIL,Recruiting,Universidade Estadual de Londrina,"October 16, 2020",Observational [Patient Registry],Impact of Social Distancing During the COVID-19 Pandemic on Non-infected People With Chronic Respiratory Diseases,Unrelated
4652,EMOTIONAL INTELLIGENCE,"February 08, 2021",20,NCT04694014,EI OPEN ENDED PRE-SURVEY AND SEMI STRUCTURED INTERVIEW,KENYA,Enrolling by invitation,African Wood Inc,"October 15, 2020",Observational,Emotional Intelligence Skills Leaders and Managers Need to Engage Frontline Healthcare Professionals During Covid-19 Pandemic,Unrelated
4653,PSYCHOSIS;SCHIZOPHRENIC,"February 08, 2021",200,NCT04694482,PSYCHOMETRIC SCALE ADMINISTRATION,ITALY,Recruiting,University of Milano Bicocca,"November 12, 2020",Observational,The Psychopathological Impact of the SARS-CoV-2 Epidemic on Subjects Suffering From Mental Disorders: Data From ASST Monza,Unrelated
4654,COVID,"February 08, 2021",600,NCT04694573,,GERMANY,Recruiting,Heidelberg University,"December 28, 2020",Observational [Patient Registry],Collaborative Transplant Study (CTS) Pre- and Post-Transplantation Covid-19 Serum Studies: Antibody Development Following a SARS-CoV-2 Infection,COVID
4655,COVID,"February 08, 2021",676,NCT04694612,FAVIPIRAVIR,NEPAL,Recruiting,Nepal Health Research Council,"January 1, 2021",Interventional,"Efficacy of Favipiravir in Treatment of Mild & Moderate COVID-19 Infection in Nepal: a Multi-center, Randomized, Open-labelled, Phase III Clinical Trial",COVID
4656,PRONE POSITIONING,"February 08, 2021",24,NCT04694638,BODY POSITION CHANGE,UNITED STATES,Recruiting,Mayo Clinic,"May 21, 2020",Interventional,"The Use of Combined Prone Positioning and High-Flow Nasal Cannula, and Non-invasive Positive Pressure Ventilation to Prevent Intubation in Acute Hypoxemic and/or Hypercapnic Respiratory Failure Secondary to COVID-19 Infection: A Feasibility, Safety Phase One, Open Label Study",Unrelated
4657,COVID,"February 08, 2021",400,NCT04694651,,EGYPT,Recruiting,Assiut University,"December 15, 2020",Observational [Patient Registry],A National Survey of Potential Acceptance of COVID-19 Vaccines in Healthcare Workers in Egypt,COVID
4658,PREGNANCY RELATED,"February 08, 2021",18000,NCT04694664,THIS IS AN ONLINE SURVEY WITH NO INTERVENTION.,UNITED STATES,Completed,Pregistry,"October 1, 2020",Observational,Vaccine Confidence Among Pregnant Women and Mothers During the COVID-19 Pandemic,Unrelated
4659,COVID,"February 08, 2021",20,NCT04694703,COVID-19 GROUP,TURKEY,Recruiting,Izmir Bakircay University,"January 6, 2021",Observational,"Changing of Trace Element, Homocysteine, Oxidative Stress Parameters and Physical Activity Levels in Patients Diagnosed With COVID-19 Before and After COVID-19 Treatment",COVID
4660,COVID,"February 08, 2021",40,NCT04694716,NO INTERVENTION,TURKEY,Recruiting,Izmir Bakircay University,"January 6, 2021",Observational,Determination of Serum Trace Element and Physical Activity Levels in COVID-19 Patients,COVID
4661,ARDS,"February 08, 2021",100,NCT04694742,DATA COLLECTING,ITALY,Recruiting,ASST Fatebenefratelli Sacco,"September 1, 2020",Observational,Ventilatory Efficiency in Critically Ill COVID-19 Patients,Unrelated
4662,POST COVID SYNDROME,"February 08, 2021",100,NCT04694768,REHABILITATION,EGYPT,Recruiting,Assiut University,"July 1, 2020",Observational,The Effect of Implementing a Nursing Program Intervention on Improvement of Health Quality of Post Covid-19 Patients,COVID
4663,COVID,"February 08, 2021",60,NCT04695158,COVID-19 GROUP (GROUP I),TURKEY,Recruiting,Izmir Bakircay University,"January 6, 2021",Observational,"Determination of Hemoglobin A1c, Lipid Profiles, Homocysteine, Oxidative Stress Parameters and Physical Activity Levels in Patients With Type II Diabetes and/or COVID-19",COVID
4664,COVID,"February 08, 2021",142,NCT04695197,ARTEMETHER-LUMEFANTRINE (AL),BURKINA FASO,Not yet recruiting,Liverpool School of Tropical Medicine,"January 8, 2021",Interventional,Malaria as a Risk Factor for COVID-19 in Western Kenya and Burkina Faso,COVID
4665,COVID,"February 08, 2021",50,NCT04695301,REHABILITATION PROTOCOL THROUGH A DIGITAL PLATFORM,BRAZIL,Recruiting,Hospital Israelita Albert Einstein,"July 1, 2020",Interventional,Functional Outcomes in COVID-19 Survivors and Use of a Digital Platform for Rehabilitation,COVID
4666,MYASTHENIA GRAVIS,"February 08, 2021",150,NCT04695379,,FRANCE,Recruiting,"University Hospital, Bordeaux","May 26, 2020",Observational,Follow-up of a Cohort of Patients With Myasthenic Syndrome and COVID-19 Infection: Consequences on the Severity of Myasthenic Syndrome and Reciprocal Impact of the Two Pathologies on Their Respective Treatments,Unrelated
4667,COVID,"February 08, 2021",74,NCT04695457,,FRANCE,Completed,Centre Hospitalier Annecy Genevois,"July 15, 2020",Observational,Correlation Between the Incidence of COVID-19 in Nursing-homes and the Profile of Nursing Homes in the French Alps,COVID
4668,COVID VACCINE,"February 08, 2021",3700,NCT04695652,MVC-COV1901(S PROTEIN WITH ADJUVANT),TAIWAN,Recruiting,Medigen Vaccine Biologics Corp.,"December 30, 2020",Interventional,"A Phase II, Prospective, Double-blinded, Multi-Center, Multi-Regional Study to Evaluate the Safety, Tolerability, and Immunogenicity of the SARS-CoV-2 Vaccine Candidate MVC-COV1901",COVID
4669,COVID,"February 08, 2021",4000,NCT04695678,COVID-19 NASAL/PHARYNGEAL SWAB,GERMANY,"Active, not recruiting",Wissenschaftliches Institut Bethanien e.V,"July 1, 2020",Observational,Epidemiological Multicohort Study of Latent COVID-19 Infections in Residents and Staff of Nursing Homes in the City of Solingen,COVID
4670,COVID,"February 08, 2021",284,NCT04695704,MONTELUKAST,,Not yet recruiting,Jordi Gol i Gurina Foundation,"April 1, 2021",Interventional,"Double-blind Randomized Clinical Trial, Placebo-controlled to Assess the Efficacy of Montelukast in Mild-moderate Respiratory Symptoms in Patients With Long-COVID: E-SPERANZA COVID PROJECT",COVID
4671,DEMENTIA,"February 08, 2021",50,NCT04695743,ONLINE COGNITIVE STIMULATION THERAPY,UNITED KINGDOM,Recruiting,"University College, London","September 1, 2020",Interventional,Virtual CST - A Collaborative Proof of Concept Study With FaceCog HK in Response to the Covid-19 Pandemic,Unrelated
4672,COVID,"February 08, 2021",1000,NCT04695756,COVID-19 PANDEMIC,ARGENTINA,Recruiting,Hospital Italiano de Buenos Aires,"December 15, 2020",Observational,Impact of Coronavirus Disease 2019 (COVID-19) Epidemic in Patients Requiring Liver Transplantation,COVID
4673,COVID,"February 08, 2021",10,NCT04695821,SENTI V1.0 DEVICE,UNITED KINGDOM,Not yet recruiting,Senti Tech Ltd,January 2021,Interventional,"A Small-scale Study to Capture Acoustic Pathophysiological Parameters, in the Community, Through a Wearable Device, and to Evaluate the Technical and Practical Feasibility of Utilising This Data as Part of a Medical Device System for the Monitoring and Evaluation of Covid-19 at Home",COVID
4674,CHRONIC PAIN,"February 08, 2021",144,NCT04696107,PSYCHOEDUCATIVE INTERVENTION,SPAIN,Not yet recruiting,Hospital San Juan de Dios del Aljarafe de Sevilla,"April 1, 2021",Interventional,Effectiveness of Coping Strategies on the Control of Musculoskeletal Chronic Non-Cancer Pain and Quality of Life: A Randomized Clinical Trial,Unrelated
4675,RESPIRATORY FAILURE,"February 08, 2021",250,NCT04696406,RESPINOR DXT,FRANCE,Not yet recruiting,Respinor AS,"March 1, 2021",Observational [Patient Registry],"Multicenter, Multinational, Clinical Trial of the Performance of RESPINOR DXT to Identify Patients at Increased Risk of Weaning Failure",Respiratory
4676,COVID,"February 08, 2021",44,NCT04696562,DEEP BREATHING EXERCISE WITH TRIFLO,,Not yet recruiting,Ankara University,"January 1, 2021",Interventional,"The Effect of Deep Breathing Exercise Applied With Triflo on Dyspnea, Anxiety and Quality of Life in Patients Treated for COVID-19: Randomized Controlled StudyPatients Treated for COVID-19: A Randomized Controlled Study",COVID
4677,OLFACTION DISORDERS,"February 08, 2021",2000,NCT04696601,OLFACTORY TEST,FRANCE,Not yet recruiting,Centre Hospitalier Universitaire de Nice,"January 10, 2021",Interventional,Rapid Screening for Olfactory Disorders in Covid-19 Infection,Unrelated
4678,VERY PRETERM CHILDREN WITH DYSEXECUTIVE DISORDERS,"February 08, 2021",170,NCT04696679,PATIENT QUALITY OF LIFE ASSESSMENT,FRANCE,Completed,Assistance Publique Hopitaux De Marseille,"June 19, 2020",Observational,Quality of Life of Very Preterm Children With Dysexecutive Disorders at Elementary School Age During the Confinement-deconfinement Period of Covid-19 Pandemic,Unrelated
4679,COVID,"February 08, 2021",347,NCT04696913,EXPOSURE: POSITIVE COVID-19 INFECTION,,Not yet recruiting,University of Aberdeen,"January 1, 2021",Observational,Does COVID-19 Infection Increase the Risk of Pulmonary Embolism? A Retrospective Case-control Study,COVID
4680,"BURNOUT, PSYCHOLOGICAL","February 08, 2021",443,NCT04697030,,PAKISTAN,Completed,Sialkott College of Physical Therapy,"September 15, 2020",Observational,Behavioral Outcomes Among Adolescent Population During Covid-19 Pandemic Lockdown in Pakistan: A Lower Middle Income Country Experience,Unrelated
4681,COVID,"February 08, 2021",30,NCT04697654,TLC19,AUSTRALIA,"Active, not recruiting",Taiwan Liposome Company,"October 14, 2020",Interventional,"A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Inhaled TLC19 in Healthy Volunteers",COVID
4682,COVID INFECTIONS IN CANCER PATIENTS,"February 08, 2021",10000,NCT04697927,QUESTIONNAIRES,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"December 30, 2020",Observational,Ascertainment of Epidemiologic Risk Information to Assess Susceptibility to and Severity of SARS-CoV-2 Infection,COVID
4683,ANXIETY,"February 08, 2021",1107,NCT04698044,HOSPITAL ANXIETY DEPRESSION SCALE,TURKEY,Completed,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey","May 8, 2020",Observational,Anxiety and Depression Perceived by Individuals With and Without Cancer During the COVID-19 Pandemic Period: A Population-based Comparative Study,Unrelated
4684,COVID,"February 08, 2021",160,NCT04698083,"ELECTROCARDIOGRAPHY ,TOMOGRAPHIC IMAGING",TURKEY,Completed,Ankara Education and Research Hospital,"July 22, 2020",Observational,Retrospective Evaluation of Electrocardiographic Findings of Right Ventricular Overload in Covid 19 Patients With Respiratory Distress,COVID
4685,SEPSIS,"February 08, 2021",5000,NCT04698382,,UNITED STATES,"Active, not recruiting",National Institutes of Health Clinical Center (CC),"August 1, 2020",Observational,"Impact of COVID-19 on the Incidence, Characteristics, Management and Outcome of Sepsis",Unrelated
4686,CACHEXIA,"February 08, 2021",16,NCT04698798,MUSCLE BIOPSY,BELGIUM,Recruiting,Hasselt University,January 2021,Interventional,Skeletal Muscle Wasting in SARS-CoV-2 Infected ICU (Intensive Care Unit) Patients,Unrelated
4687,SARS-CoV2,"February 08, 2021",30,NCT04698837,,SWITZERLAND,Not yet recruiting,"University Hospital Inselspital, Berne",January 2021,Observational,AeroCOVID 1: Understanding Potential Airborne Transmission and the Protective Value of Type II Surgical Masks in SARS-CoV-2 Using Patient Proximity Environmental Sampling With a Highly Efficient Bioaerosol and Droplet Collection Dummy,COVID
4688,COVID,"February 08, 2021",1650,NCT04698993,DRÄGER ANTIGEN TEST SARS-COV-2,GERMANY,Not yet recruiting,Drägerwerk AG & Co. KGaA,January 2021,Interventional,Dräger Antigen Test SARS-CoV-2 Clinical Performance Study,COVID
4689,SARS-COV INFECTION,"February 08, 2021",1650,NCT04699058,COVID-ANTIBODY TEST,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",Recruiting,"Institute of Tropical Medicine, Belgium","July 17, 2020",Observational,"Sero-prevalence and Sero-conversion Study of Health Care Workers and Their Households, Democratic Republic of the Congo",Respiratory
4690,AZITHROMYCIN ADVERSE REACTION,"February 08, 2021",105,NCT04699097,AZITHROMYCIN,TURKEY,Completed,Kayseri City Hospital,"July 1, 2020",Observational,Azitromycin Use in COVID-19 Positive Pediatric Patients; Effect on Ventricle Repolarization,Unrelated
4691,COVID,"February 08, 2021",20,NCT04699227,CUFF APPLICATION WITH INFLATION,UNITED KINGDOM,Recruiting,Derek Yellon,"April 23, 2020",Interventional,"CAN REMOTE ISCHAEMIC CONDITIONING REDUCE INFLAMMATORY MARKERS IN COVID-19 PATIENTS - A MULTI-SITE, RANDOMISED PILOT STUDY",COVID
4692,COVID,"February 08, 2021",230,NCT04699578,COVID-19 POSITIVE,ITALY,Recruiting,"University of Campania ""Luigi Vanvitelli""","December 28, 2020",Observational,Impact of COVID-19 Infection on the Course of Pregnancy and Fetal-neonatal Outcomes,COVID
4693,COVID,"February 08, 2021",1200,NCT04699851,TAILORED RECOMMENDATIONS,CANADA,Recruiting,Laval University,"November 18, 2020",Interventional,Optimization of the Management of COVID-19 Through Tailored Recommendations to the Citizens,COVID
4694,"SARS-CoV2, COVID","February 08, 2021",215,NCT04699903,POC SARS-COV-2 IGG ANTIBODY TEST,UNITED STATES,Not yet recruiting,Rapid Pathogen Screening,"December 28, 2020",Observational,"Clinical Evaluation of a Point-of-Care (POC), SARS-CoV-2 IgG Antibody Test in Fingerstick Whole Blood",COVID
4695,SEDATION COMPLICATION,"February 08, 2021",44,NCT04699916,EEG BASED PROTOCOL FOR DEEP SEDATION,,Not yet recruiting,University of Chile,"January 4, 2021",Interventional,EEG-based Protocol to Guide Deep Sedation Decreases the Days of Mechanical Ventilation in COVID-19 Patients: Randomized Clinical Trial,Unrelated
4696,HYPOXEMIA,"February 08, 2021",23,NCT04699942,CONVENTIONAL (LOW FLOW) OXYGEN DELIVERY VIA NASAL CANNULA,CANADA,Not yet recruiting,Dr. David Maslove,"January 4, 2021",Interventional,Pilot Study to Evaluate the Revoxa™ System in Hypoxic Patients,Unrelated
4697,COVID,"February 08, 2021",660,NCT04700137,CARING CONTACTS PLUS INTRODUCTORY PHONE CALL (CC+),UNITED STATES,Enrolling by invitation,"St. Luke's Health System, Boise, Idaho","January 18, 2021",Interventional,"Investigating the Mental Health Impact of COVID-19 and Comparing the Effectiveness of Two Caring Contact Interventions on Patients, Providers, and Staff of St. Luke's Health System",COVID
4698,COVID,"February 08, 2021",15,NCT04700163,C144-LS AND C-135-LS,UNITED STATES,Recruiting,Rockefeller University,"January 11, 2021",Interventional,"A Phase 1, Open Label, Dose-escalation Study of the Safety and Pharmacokinetics of a Combination of Two Anti-SARS-CoV-2 mAbs (C144-LS and C135-LS) in Healthy Volunteers",COVID
4699,DIABETES MELLITUS,"February 08, 2021",150,NCT04700254,DASS QUESTIONNAIRE,GREECE,Completed,"Chania General Hospital ""St. George""","December 28, 2020",Observational,"The Effect of COVID-19 National Lockdown on People With Diabetes Mellitus Regarding Their Anxiety, Depression and Eating Attitudes, in Relation to Adjusted Work and Family Conditions",Unrelated
4700,COVID,"February 08, 2021",250,NCT04700462,SM-EMA,,Not yet recruiting,Johns Hopkins University,"February 5, 2021",Interventional,Optimizing Tailored-feedback Message to Promote Adherence Behavior to Prevent COVID-19 in African Americans,COVID
4701,COVID,"February 08, 2021",30,NCT04701489,SPLENIC ULTRASOUND,UNITED STATES,Enrolling by invitation,University of Minnesota,January 2021,Interventional,Ultrasound Neural and Immunomodulation Treatment Evaluation Study (UMN-GE) for COVID-19,COVID
4702,COVID,"February 08, 2021",60,NCT04701502,VIUSID,BULGARIA,Recruiting,Catalysis SL,"November 9, 2020",Interventional,Efficacy and Safety of Viusid and Asbrip in Hospitalized Patients With Mild and Moderate COVID-19,COVID
4703,COVID,"February 08, 2021",500,NCT04701515,CHART REVIEW,UNITED STATES,Recruiting,Methodist Health System,"June 10, 2020",Observational,Cardiovascular Manifestations of COVID-19,COVID
4704,COVID,"February 08, 2021",20,NCT04701528,VOCLOSPORIN,NETHERLANDS,Recruiting,Leiden University Medical Center,"November 15, 2020",Interventional,An Open-Label Study Evaluating Anti-Viral Effects of Voclosporin in SARS-CoV-2 Positive Kidney Transplant Recipients - the VOCOVID Study,COVID
4705,COVID,"February 08, 2021",402,NCT04701606,ARTECOM® (PYRONARIDINE-ARTESUNATE),PHILIPPINES,Not yet recruiting,Shin Poong Pharmaceutical Co. Ltd.,"February 15, 2021",Interventional,"A Multi-center, Randomized, Double-blind, Placebo-controlled Phase 2/3 Clinical Trial to Evaluate the Safety and Efficacy of Pyronaridine-artesunate (Artecom®) in COVID-19 Patients",COVID
4706,COVID,"February 08, 2021",3000,NCT04701658,BAMLANIVIMAB,,Not yet recruiting,Eli Lilly and Company,"January 8, 2021",Interventional,"A Prospective Cohort Study to Evaluate the Real-world Effectiveness of Bamlanivimab in Participants With Mild-to-moderate COVID-19 at High Risk for Progressing to Severe Illness, With Matched Controls",COVID
4707,COVID,"February 08, 2021",300,NCT04701710,IVERMECTIN / IOTA-CARRAGEENAN,ARGENTINA,Completed,Maria de los Angeles Peral de Bruno,"October 15, 2020",Interventional,A Randomized Trial - Intensive Treatment Based in Ivermectin and Iota-carrageenan as Prophylaxis for Covid-19 In Healthcare Agents,COVID
4708,COVID,"February 08, 2021",200,NCT04701892,INDICATORS OF CENTRAL SENSITISATION,BELGIUM,Recruiting,Universitair Ziekenhuis Brussel,"January 19, 2021",Observational,Central Sensitisation in Post Covid-19 Infection Patients: a Prospective Cohort Study,COVID
4709,COVID PANDEMIC,"February 08, 2021",450,NCT04701905,,FRANCE,Recruiting,"University Hospital, Strasbourg, France","April 30, 2020",Observational,The Offer of Neurosurgery Care in the Grand Est of France During the Health Crisis Linked to Covid-19,COVID
4710,COVID,"February 08, 2021",54,NCT04701944,,FRANCE,Recruiting,"University Hospital, Strasbourg, France","April 21, 2020",Observational,Clinical Study of Pregnant Women With COVID-19: A Retrospective Review of Medical Records at Strasbourg University Hospitals,COVID
4711,COVID,"February 08, 2021",1600,NCT04701996,SEROLOGICAL SURVEILLANCE,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",Recruiting,"Institute of Tropical Medicine, Belgium","September 23, 2020",Observational,Transmission Dynamics of COVID-19 in a Rural Setting of the Democratic Republic of the Congo,COVID
4712,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",108,NCT04702178,COVAC-2,CANADA,Recruiting,University of Saskatchewan,January 2021,Interventional,"A Randomized, Observer-Blind, Dose-Escalation Phase 1/2 Clinical Trial of COVAC Vaccines in Healthy Adults",COVID
4713,CONNECTIVE TISSUE DISEASES,"February 08, 2021",250,NCT04702295,,,Not yet recruiting,University of Pisa,February 2021,Observational,COVID Vaccination in Rare and Complex Connective Tissue Diseases: ERN ReCONNET Multicentre Prospective Cohort Study,Unrelated
4714,COVID,"February 08, 2021",200000,NCT04702945,,CANADA,Recruiting,University of British Columbia,"March 1, 2020",Observational [Patient Registry],Canadian COVID-19 Emergency Department Rapid Response Network (CCEDRRN) - Population-based Registry of Suspected and Confirmed COVID-19 Cases,COVID
4715,HEART FAILURE,"February 08, 2021",750,NCT04702958,,UNITED STATES,Enrolling by invitation,Inova Health Care Services,"December 10, 2020",Observational,Mechanistic Insights From Longitudinal Changes in Blood and Urine Proteins to Explain Efficacy and Safety of Torsemide vs Furosemide After a Heart Failure Hospitalization,Unrelated
4716,COVID,"February 08, 2021",64,NCT04703036,GLYCINE,UNITED STATES,Recruiting,Baylor College of Medicine,"January 11, 2021",Interventional,Randomized Trial of Supplementing Glycine and N-acetylcysteine vs. Placebo in COVID-19,COVID
4717,COVID,"February 08, 2021",80,NCT04703114,BLOOD COUNT,FRANCE,Not yet recruiting,Assistance Publique - Hôpitaux de Paris,February 2021,Interventional,Study of the Immunological and Virological Response of Patients Infected With SARS-CoV-2 and Presenting an Asymptomatic or Pauci-symptomatic Form,COVID
4718,COVID,"February 08, 2021",350,NCT04703140,RAPID DIAGNOSTIC TEST VS PCR,,Not yet recruiting,CMC Ambroise Paré,"January 15, 2021",Interventional,Evaluation of the Performance of COVIDISC Rapid Test for Diagnosis of SARS-CoV-2,COVID
4719,COVID,"February 08, 2021",240,NCT04703205,IVERMECTIN 3 MG,JAPAN,Recruiting,Kitasato University,"September 16, 2020",Interventional,"A Placebo-controlled, Randomized, Double-blind Study in COvid-19 Patients With iveRmectin; An inVEstigator iniTiaTEd Trial",COVID
4720,CORONAVIRUS INFECTION,"February 08, 2021",1200,NCT04703270,,UNITED KINGDOM,Recruiting,"St George's, University of London","January 4, 2021",Observational,Understanding COVID-19 Infection in Pregnant Women and Their Babies,COVID
4721,SURGICAL EDUCATION,"February 08, 2021",195,NCT04703400,ANONYMOUS SURVEY,ARGENTINA,Completed,"Clinica Universitaria Reina Fabiola, Universidad Catolica de Cordoba","August 15, 2020",Observational,Analysis of the Impact on Surgical Residency Programs in Times of Pandemic in Argentina: A Cross-sectional Study,Unrelated
4722,COVID,"February 08, 2021",100,NCT04703452,INDICATORS OF CENTRAL SENSITISATION,BELGIUM,Recruiting,Universitair Ziekenhuis Brussel,"January 19, 2021",Observational,Central Sensitisation in Post Covid-19 Infection Patients: a Cross-sectional Study,COVID
4723,COVID,"February 08, 2021",20,NCT04703478,BREATHING EXERCISE,SPAIN,Not yet recruiting,University of Salamanca,"January 20, 2021",Interventional,RespiraConNosotros: Creation and Implementation of a Mobile Application for the Rehabilitation of Patients With Respiratory Sequelae of the SARS-CoV-2 (COVID-19),COVID
4724,COVID,"February 08, 2021",1200,NCT04703608,IVERMECTIN,GAMBIA,Recruiting,London School of Hygiene and Tropical Medicine,January 2021,Interventional,Prevention and Treatment for COVID -19 Associated Severe Pneumonia in The Gambia: a Single-Blinded Randomised Clinical Trial (PaTS-COVID),COVID
4725,COVID,"February 08, 2021",500,NCT04703777,,FRANCE,Recruiting,"University Hospital, Strasbourg, France","April 4, 2020",Observational,"Retrospective Study on the Relationship Between Social Status and Use of Healthcare Services During the Confinement Period Linked to the COVID-19 Epidemic in Bas-Rhin, France",COVID
4726,COVID,"February 08, 2021",1200,NCT04703790,,,Not yet recruiting,Columbia University,February 2021,Observational,Acceptability Across Two Time Periods of a SARS-CoV-2 Vaccine Among a Representative Sample of Adults Within the United States,COVID
4727,STRESS AND ANXIETY,"February 08, 2021",60,NCT04703907,AURICULAR STIMULATION,GERMANY,Recruiting,University Medicine Greifswald,"December 3, 2020",Interventional,"Auricular Stimulation (AS) vs. ""Waiting List"" for Relief of Stress and Anxiety in Health Care Workers During COVID-19 Pandemic - a Prospective Controlled Investigation",Unrelated
4728,COVID,"February 08, 2021",830,NCT04704388,,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"June 1, 2020",Observational,Study Project Comparing the Sequelae of SARS-CoV-2 Infection in Patients Who Have and Have Not Received Ventilatory Support in Critical Care,COVID
4729,HEAD AND NECK CANCER,"February 08, 2021",150,NCT04704466,,FRANCE,Recruiting,"Centre Hospitalier Universitaire, Amiens","January 7, 2021",Observational,Observational Study Evaluating the Impact of the Covid-19 Pandemic on the Management of Patients With Head and Neck Cancer in the Maxillofacial Surgery Department,Unrelated
4730,RHEUMATIC DISEASES,"February 08, 2021",320,NCT04704544,TELE-RHEUMATOLOGY,UNITED STATES,Not yet recruiting,University of Alabama at Birmingham,"March 1, 2021",Interventional,Effectiveness of Tele-rheumatology for Delivering High Quality Rheumatology Care During the COVID-19 Crisis,Unrelated
4731,HEALTHY PEOPLE,"February 08, 2021",20,NCT04704570,EXERCISE,TURKEY,Not yet recruiting,Hacettepe University,"January 25, 2021",Interventional,Investigation of The Effects of Remote Exercise Programs and Preventive Training on Muscle Architecture and Functional Level in Asymptomatic Individuals,Unrelated
4732,COVID,"February 08, 2021",5000,NCT04705116,COVID-19 VACCINE,UNITED STATES,Not yet recruiting,Pregistry,"January 15, 2021",Observational [Patient Registry],COVID-19 Vaccines International Pregnancy Exposure Registry (C-VIPER),COVID
4733,COVID,"February 08, 2021",132,NCT04705597,BGE-175,UNITED STATES,Not yet recruiting,"BioAge Labs, Inc.",February 2021,Interventional,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 2 Study to Investigate the Efficacy and Safety of BGE-175 in Hospitalized Patients Over 60 Years of Age With COVID-19",COVID
4734,COVID,"February 08, 2021",20,NCT04705753,CRETAN IAMA,GREECE,Completed,University of Crete,"April 1, 2020",Interventional,"Evaluation of the Clinical Outcomes and the Quality of Life of Patients Exhibiting Symptoms Characteristic of Viral Respiratory Infection (VRI), Including Infection by SARS-CoV-2 (COVID-19), and Assessment of the Clinical Effectiveness of a Herbal Extract (Cretan IAMA) in These Patients and the People Cohabiting With Them Via an Open-label, Single-arm Trial",COVID
